Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2105,0,690.0,909.1459773691139,130.13253000008262,4242.129833000035,47798.0,29.920824044256364,0.0,690,940,1200,1300,1900,2300,2900,3200,4200,4200,4200
,Aggregated,2105,0,690.0,909.1459773691139,130.13253000008262,4242.129833000035,47798.0,29.920824044256364,0.0,690,940,1200,1300,1900,2300,2900,3200,4200,4200,4200
