Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6364,1088,9200.0,8920.209689075433,2.4698239994904725,30420.92526399938,39626.37460716531,50.130296560261556,8.570358682835414,9300,13000,14000,15000,17000,18000,22000,30000,30000,30000,30000
,Aggregated,6364,1088,9200.0,8920.209689075433,2.4698239994904725,30420.92526399938,39626.37460716531,50.130296560261556,8.570358682835414,9300,13000,14000,15000,17000,18000,22000,30000,30000,30000,30000
