Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8445,2007,15000.0,11980.689136510824,2.6003499997386825,30839.520622000236,36438.546358792184,47.21066381748598,11.219870015594358,15000,17000,18000,19000,22000,30000,30000,30000,30000,31000,31000
,Aggregated,8445,2007,15000.0,11980.689136510824,2.6003499997386825,30839.520622000236,36438.546358792184,47.21066381748598,11.219870015594358,15000,17000,18000,19000,22000,30000,30000,30000,30000,31000,31000
