Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,169,0,180.0,224.2008977810984,115.89469499995175,608.4100279995255,47798.0,4.768667609263063,0.0,180,200,220,250,370,570,590,590,610,610,610
,Aggregated,169,0,180.0,224.2008977810984,115.89469499995175,608.4100279995255,47798.0,4.768667609263063,0.0,180,200,220,250,370,570,590,590,610,610,610
