Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,653,0,850.0,880.2994185865183,127.17561900080909,2248.6977300004583,47798.0,27.997527932253618,0.0,850,1100,1200,1300,1600,1800,1900,2100,2200,2200,2200
,Aggregated,653,0,850.0,880.2994185865183,127.17561900080909,2248.6977300004583,47798.0,27.997527932253618,0.0,850,1100,1200,1300,1600,1800,1900,2100,2200,2200,2200
